Date,Topic,Owner,Type,PV,TA,num_follower,num_unfollow,net_follower_change,category,word_count,num_pictures,episode,greater_1k,weekday,num_readers,num_sub_read,num_moment,num_favorites,share_rate,promo_rate,sub_read_rate,moments_read_rate
2/28/18,您的装柱过程有完整的电子数据记录了吗？,Zhao Jianpeng,Tips,1179,57,19,13,6,AKTA,688,4,0,1,3,948,406,437,17,0.048346056,0.105263158,0.428270042,0.460970464
3/1/18,明天要做His纯化，就用PD-10吧，不耽误吃元宵喔,Qing tian zhu,Product,672,21,20,9,11,Consumerable,457,1,0,0,4,899,441,350,16,0.03125,0.523809524,0.49054505,0.389321468
3/5/18,新学期第一课：DV活细胞样品准备,Wang Cong,Tips,423,33,14,7,7,Cell,1212,9,0,0,1,394,137,177,8,0.078014184,0.212121212,0.347715736,0.449238579
3/6/18,“春之约” 生物工艺放大论坛 | 3月28日苏州,GE生命科学,News,684,33,21,8,13,Branding,739,1,0,0,2,576,342,136,4,0.048245614,0.393939394,0.59375,0.236111111
3/7/18,细胞治疗-病毒载体工艺整体解决方案,Deng Jie,Tech,1947,206,27,4,23,Cell,998,10,0,1,3,1116,326,585,69,0.105803801,0.111650485,0.292114695,0.524193548
3/8/18,粉色TALON陪女神过节，蛋白纯化也可以小清新,Qing tian zhu,N.A.,313,10,34,11,23,AKTA,366,2,0,0,4,987,249,583,49,0.031948882,2.3,0.252279635,0.590678825
3/9/18,Biacore在食品安全领域中的应用——三唑磷农药残留检测方法开发,Yali Wang,Tech,922,86,13,7,6,Biacore,2138,5,0,0,5,733,206,422,14,0.093275488,0.069767442,0.281036835,0.575716235
3/12/18,DV小课堂：玻片样品准备,Wang Cong,Tips,450,26,33,5,28,Cell,784,5,0,0,1,459,148,172,15,0.057777778,1.076923077,0.322440087,0.374727669
3/13/18,小福说：爱TA就给TA用好膜,Wu Zhi Jie,Tips,593,17,32,5,27,BP,673,5,小福说,0,2,594,211,286,10,0.028667791,1.588235294,0.355218855,0.481481481
3/14/18,Ä爱纯派 | 过小柱子，选微方案,Feng Feng,Product,1012,35,27,13,14,AKTA,970,2,Ä爱纯派,1,3,765,329,308,9,0.03458498,0.4,0.430065359,0.402614379
3/15/18,Co-IP小妙招,Qing tian zhu,Tips,712,43,31,9,22,Consumerable,313,4,0,0,4,989,368,454,21,0.060393258,0.511627907,0.372093023,0.459049545
3/16/18,Easy Biacore | 核酸与蛋白相互作用SOP,GE生命科学,Tips,1153,65,33,5,28,Biacore,1117,2,0,1,5,988,340,517,32,0.056374675,0.430769231,0.344129555,0.523279352
3/19/18,细胞治疗的明星产品系列之Sepax C-Pro,Carray Tang,Product,736,56,34,6,28,Cell,517,1,0,0,1,819,273,369,13,0.076086957,0.5,0.333333333,0.450549451
3/20/18,Cell Fun Club | XDR生物反应器升级啦！,Gu Jing,Product,1257,69,16,10,6,BP,759,3,Cell fun club,1,2,1129,247,748,16,0.054892601,0.086956522,0.218777679,0.662533215
3/21/18,复性不好做，DoE帮帮忙,Feng Feng,Tech,1331,68,24,10,14,AKTA,1224,3,0,1,3,1048,432,421,28,0.051089406,0.205882353,0.41221374,0.401717557
3/22/18,蛋白定量，这一个就够了,Qing tian zhu,Tech,1121,38,11,9,2,Consumerable,267,3,0,1,4,1048,545,371,23,0.033898305,0.052631579,0.520038168,0.354007634
3/23/18,好文精读| Biacore助力疾病新靶标发现,Rui Zhang,Tech,895,75,29,6,23,Biacore,1376,5,0,0,5,941,273,503,26,0.083798883,0.306666667,0.290116897,0.534537726
3/26/18,DV小课堂：镜油的选择,Wang Cong,Tips,472,31,15,8,7,Cell,665,8,0,0,1,454,181,148,6,0.065677966,0.225806452,0.398678414,0.325991189
3/27/18,Cell fun club | 讲个CHO细胞培养工艺放大的案例,Xiang nan,Tech,1259,77,49,11,38,BP,1741,12,Cell fun club,1,2,1179,415,545,60,0.061159651,0.493506494,0.351993215,0.462256149
3/28/18,Ä爱纯派 | 新一代中试层析系统ÄKTA Pilot 600正式发布,Ä爱纯派,Product,2571,129,48,9,39,AKTA,1357,8,Ä爱纯派,1,3,2140,525,1348,20,0.050175029,0.302325581,0.245327103,0.629906542
3/29/18,分辨率提升小利器,Qing tian zhu,Tips,556,11,20,5,15,Consumerable,165,1,0,0,4,1027,470,425,14,0.019784173,1.363636364,0.457643622,0.41382668
3/30/18,MabSelect PrismA获得“2017科技创新大奖”,GE马克亭,News,1434,100,19,13,6,Branding,1108,8,0,1,5,1159,335,671,18,0.069735007,0.06,0.289042278,0.578947368
4/2/18,Cpro和它的软件方案,Carray Tang,Product,349,11,38,12,26,Cell,722,0,0,0,1,551,233,158,18,0.031518625,2.363636364,0.422867514,0.286751361
4/3/18,确认过眼神，哥不止这场公益培训是认真的,GE生命科学,News,385,9,24,7,17,Branding,710,2,0,0,2,507,291,87,7,0.023376623,1.888888889,0.573964497,0.171597633
4/4/18,抗体片段纯化策略 案例分享,Kong Chao,Tech,1039,66,24,9,15,AKTA,1756,19,0,1,3,841,415,293,44,0.063522618,0.227272727,0.493460166,0.348394768
4/8/18,GE医疗CMEF微站上线了！,GE医疗,News,286,8,11,7,4,Branding,751,4,0,0,7,348,233,32,13,0.027972028,0.5,0.66954023,0.091954023
